time(s),area,x,y,v_x,v_y,theta,area,x,y,v_x,v_y,theta
 10.719, 457.5, 628.2, 675.4,-397.8, 209.3,0, 503.0, 616.2, 537.5,   6.4,   0.1,0,
 10.790, 463.5, 602.5, 682.6,-366.1, 102.2,0, 508.0, 616.0, 537.5,  -3.7,  -0.4,0,
 10.853, 428.5, 573.8, 683.2,-453.9,   9.0,0, 499.0, 616.2, 537.6,   4.2,   1.0,0,
 10.919, 439.0, 548.0, 679.6,-386.6, -54.5,0, 511.0, 615.9, 537.5,  -4.5,  -1.6,0,
 10.986, 449.0, 521.8, 670.5,-393.6,-136.2,0, 508.0, 616.1, 537.5,   2.8,   0.1,0,
 11.053, 428.5, 496.8, 657.2,-375.9,-199.3,0, 491.5, 616.6, 537.7,   7.4,   4.0,0,
 11.123, 440.5, 473.5, 640.9,-331.2,-232.0,0, 508.5, 616.1, 537.5,  -7.6,  -3.6,0,
 11.186, 451.5, 451.7, 621.5,-344.1,-306.6,0, 508.5, 616.1, 537.4,   0.2,  -1.7,0,
 11.253, 406.5, 433.6, 598.0,-272.2,-353.0,0, 504.5, 616.1, 537.5,  -0.4,   2.1,0,
 11.319, 424.0, 419.9, 574.4,-205.9,-355.1,0, 510.5, 615.8, 537.5,  -4.5,  -0.0,0,
 11.386, 431.0, 406.7, 548.0,-196.8,-395.0,0, 501.0, 615.8, 537.6,   0.9,   1.6,0,
 11.456, 432.5, 394.2, 520.5,-179.9,-392.6,0, 507.0, 616.1, 537.5,   3.4,  -1.2,0,
 11.519, 421.0, 385.3, 492.4,-140.0,-444.2,0, 509.5, 616.0, 537.6,  -1.1,   0.7,0,
 11.586, 417.5, 378.4, 462.9,-102.9,-441.7,0, 509.0, 615.8, 537.4,  -3.4,  -2.3,0,
 11.653, 411.5, 375.5, 437.5, -44.9,-383.2,0, 507.5, 616.0, 537.6,   2.9,   3.2,0,
 11.719, 398.0, 372.5, 416.9, -45.0,-307.8,0, 504.5, 615.8, 537.4,  -2.4,  -3.4,0,
 11.789, 402.0, 371.0, 407.8, -20.7,-130.7,0, 512.0, 616.0, 537.5,   3.3,   1.5,0,
 11.853, 409.0, 370.7, 405.3,  -4.8, -39.2,0, 509.0, 616.1, 537.5,   1.5,   0.1,0,
 11.919, 396.0, 369.9, 400.5, -12.7, -71.5,0, 511.0, 616.0, 537.5,  -2.5,  -0.6,0,
 11.986, 404.0, 370.1, 400.6,   4.0,   0.4,0, 508.5, 615.9, 537.3,  -0.9,  -2.1,0,
 12.052, 432.5, 370.2, 398.0,   1.0, -38.0,0, 503.5, 615.9, 537.5,   0.1,   2.7,0,
 12.123, 413.5, 370.0, 393.2,  -3.3, -68.2,0, 504.0, 616.1, 537.7,   2.6,   1.9,0,
 12.186, 416.0, 369.4, 393.2,  -8.5,  -1.3,0, 512.5, 616.0, 537.4,  -2.0,  -3.7,0,
 12.252, 400.5, 369.5, 392.4,   0.7, -11.1,0, 504.0, 616.1, 537.5,   1.8,   1.0,0,
 12.319, 418.5, 369.5, 389.7,   0.6, -40.4,0, 507.5, 615.8, 537.6,  -4.8,   1.8,0,
 12.387, 412.0, 368.8, 386.1, -10.2, -53.6,0, 512.0, 616.0, 537.4,   3.3,  -2.8,0,
 12.487, 398.5, 369.0, 384.8,   2.0, -12.7,0, 508.5, 615.7, 537.6,  -3.2,   1.5,0,
 12.552, 401.0, 368.4, 383.7, -10.1, -17.0,0, 505.0, 616.1, 537.5,   7.3,  -1.0,0,
 12.622, 409.0, 368.9, 384.3,   8.2,   7.8,0, 509.5, 615.9, 537.5,  -2.9,   0.3,0,
 12.687, 415.0, 369.3, 384.0,   6.4,  -4.0,0, 504.5, 615.7, 537.6,  -3.8,   0.6,0,
 12.752, 403.5, 368.7, 384.1,  -9.2,   2.1,0, 509.0, 616.1, 537.5,   5.6,  -1.4,0,
 12.819, 405.5, 368.7, 384.2,  -0.6,   0.3,0, 510.0, 615.8, 537.5,  -4.0,   1.2,0,
 12.887, 407.0, 369.0, 384.4,   5.0,   3.5,0, 505.5, 615.5, 537.6,  -3.8,   1.1,0,
 12.956, 412.5, 368.8, 383.9,  -3.0,  -6.5,0, 504.5, 616.0, 537.5,   6.2,  -2.4,0,
 13.019, 398.5, 369.4, 383.8,   8.8,  -1.8,0, 510.0, 615.8, 537.5,  -3.0,   1.4,0,
 13.087, 408.0, 369.1, 384.5,  -4.8,  10.5,0, 506.5, 615.8, 537.5,   0.8,  -0.9,0,
 13.152, 383.5, 369.1, 385.4,  -0.1,  12.9,0, 508.5, 615.7, 537.6,  -1.7,   2.2,0,
 13.219, 395.0, 369.8, 392.1,  11.4, 100.6,0, 504.0, 615.7, 537.3,  -0.7,  -4.9,0,
 13.290, 388.0, 371.7, 395.4,  26.1,  46.1,0, 503.0, 615.8, 537.5,   1.6,   3.1,0,
 13.352, 390.5, 374.4, 404.8,  44.0, 151.3,0, 501.5, 616.2, 537.5,   6.4,  -0.1,0,
 13.419, 386.5, 375.3, 414.0,  13.5, 138.5,0, 508.5, 615.8, 537.4,  -5.7,  -2.0,0,
 13.487, 390.0, 375.1, 425.3,  -3.5, 166.9,0, 506.5, 615.9, 537.5,   2.0,   1.7,0,
 13.552, 384.5, 372.9, 437.5, -33.4, 185.6,0, 504.0, 615.7, 537.6,  -4.0,   1.4,0,
 13.622, 388.5, 370.4, 449.9, -34.7, 177.8,0, 512.0, 615.7, 537.4,   0.5,  -2.4,0,
 13.687, 402.0, 366.4, 462.3, -62.7, 191.5,0, 508.5, 616.1, 537.5,   5.9,   1.0,0,
 13.752, 403.0, 362.7, 472.2, -57.1, 151.3,0, 510.5, 615.8, 537.5,  -4.8,   0.3,0,
 13.819, 412.0, 356.7, 483.9, -89.6, 175.5,0, 510.0, 615.8, 537.6,   0.3,   0.7,0,
 13.886, 412.0, 350.9, 494.7, -85.5, 160.3,0, 507.5, 615.8, 537.5,   0.5,  -0.2,0,
 13.956, 408.5, 343.9, 504.2,-101.9, 136.8,0, 505.0, 616.0, 537.6,   1.9,   0.1,0,
 14.019, 419.5, 336.4, 512.8,-117.5, 135.6,0, 507.5, 615.8, 537.5,  -2.0,  -0.5,0,
 14.086, 419.0, 326.6, 523.2,-146.2, 154.4,0, 507.5, 615.8, 537.5,  -0.4,  -0.1,0,
 14.152, 429.5, 316.9, 531.6,-147.1, 127.3,0, 502.0, 615.7, 537.7,  -1.0,   2.9,0,
 14.219, 429.5, 308.4, 537.1,-127.4,  82.7,0, 502.5, 615.7, 537.7,  -0.9,  -0.9,0,
 14.290, 413.5, 297.3, 543.9,-155.4,  95.5,0, 333.0, 307.0, 542.5,-4336.0,  68.6,0,
 14.352, 416.0, 286.2, 550.1,-179.3,  99.8,0, 506.5, 615.8, 537.5,4957.6, -80.2,0,
 14.419, 456.0, 275.3, 555.0,-164.2,  73.5,0, 506.0, 616.4, 537.6,   8.8,   0.6,0,
 14.494, 438.5, 262.7, 557.9,-167.2,  39.6,0, 501.5, 615.9, 537.5,  -6.5,  -1.7,0,
 14.585, 433.0, 252.4, 560.3,-112.3,  26.2,0, 499.0, 616.1, 537.5,   2.2,   0.5,0,
 14.652, 436.5, 252.0, 560.0,  -6.4,  -5.5,0, 505.0, 615.7, 537.2,  -5.7,  -3.8,0,
 14.719, 433.5, 252.5, 560.3,   7.0,   4.9,0, 502.0, 615.8, 537.4,   1.8,   2.7,0,
 14.789, 429.0, 251.9, 560.4,  -8.0,   1.3,0, 508.0, 615.8, 537.6,   0.2,   1.8,0,
 14.852, 433.5, 252.0, 560.7,   1.7,   4.2,0, 508.0, 615.7, 537.6,  -2.1,   1.3,0,
 14.919, 441.0, 252.2, 560.5,   2.6,  -2.4,0, 508.5, 616.1, 537.5,   5.7,  -2.3,0,
 14.985, 422.5, 253.0, 560.6,  12.1,   2.3,0, 504.0, 615.7, 537.6,  -6.2,   1.7,0,
 15.052, 420.5, 254.8, 560.5,  27.1,  -2.6,0, 502.0, 616.2, 537.7,   8.5,   1.1,0,
 15.122, 442.0, 255.5, 559.3,  10.7, -16.5,0, 503.5, 615.9, 537.6,  -4.9,  -1.6,0,
 15.185, 467.5, 257.3, 559.2,  27.3,  -1.3,0, 502.5, 616.2, 537.6,   5.3,   0.7,0,
 15.252, 445.5, 259.5, 559.9,  33.2,   9.3,0, 505.0, 615.6, 537.4,  -8.9,  -2.2,0,
